typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","548","VUT","Vanuatu","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19883","false","-1","N/A",,"false","19883","false",,"false",,"151504","151504","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","268629","false","-1","N/A",,"false","268629","false",,"false",,"2317827","2317827","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","558","NIC","Nicaragua","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1623643","false","-1","N/A",,"false","1623643","false",,"false",,"7574568","7574568","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","591","PAN","Panama","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","355403","false","-1","N/A",,"false","355403","false",,"false",,"2387250","2387250","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","598","PNG","Papua New Guinea","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7444162","false","-1","N/A",,"false","7444162","false",,"false",,"25429455","25429455","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","604","PER","Peru","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1293177","false","-1","N/A",,"false","1293177","false",,"false",,"5382618","5382618","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50774","false","-1","N/A",,"false","50774","false",,"false",,"176301","176301","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","612","PCN","Pitcairn","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172022","false","-1","N/A",,"false","172022","false",,"false",,"521407","521407","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","616","POL","Poland","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18190","false","-1","N/A",,"false","18190","false",,"false",,"122061","122061","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","620","PRT","Portugal","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","924","false","-1","N/A",,"false","924","false",,"false",,"7119","7119","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","626","TLS","Timor-Leste","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","209332","false","-1","N/A",,"false","209332","false",,"false",,"755205","755205","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","646","RWA","Rwanda","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","227347","false","-1","N/A",,"false","227347","false",,"false",,"1281786","1281786","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","280","false","-1","N/A",,"false","280","false",,"false",,"2166","2166","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","688","SRB","Serbia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76352","false","-1","N/A",,"false","76352","false",,"false",,"120510","120510","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","699","IND","India","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6108031","false","-1","N/A",,"false","6108031","false",,"false",,"20101520","20101520","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","702","SGP","Singapore","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","197314","false","-1","N/A",,"false","197314","false",,"false",,"819837","819837","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13821591","false","-1","N/A",,"false","13821591","false",,"false",,"28426845","28426845","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","705","SVN","Slovenia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16377","false","-1","N/A",,"false","16377","false",,"false",,"23036","23036","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15739","false","-1","N/A",,"false","15739","false",,"false",,"8802","8802","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","716","ZWE","Zimbabwe","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19426","false","-1","N/A",,"false","19426","false",,"false",,"91887","91887","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","724","ESP","Spain","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","337505","false","-1","N/A",,"false","337505","false",,"false",,"1479486","1479486","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","752","SWE","Sweden","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2926","false","-1","N/A",,"false","2926","false",,"false",,"18003","18003","0","true","false",
