country,year,species,production_bags_1000
Equatorial Guinea,2015,Robusta,0.0
Equatorial Guinea,2016,Arabica,0.0
Equatorial Guinea,2016,Robusta,0.0
Equatorial Guinea,2017,Arabica,0.0
Equatorial Guinea,2017,Robusta,0.0
Equatorial Guinea,2018,Arabica,0.0
Equatorial Guinea,2018,Robusta,0.0
Equatorial Guinea,2019,Arabica,0.0
Equatorial Guinea,2019,Robusta,0.0
Equatorial Guinea,2020,Arabica,0.0
Equatorial Guinea,2020,Robusta,0.0
Equatorial Guinea,2021,Arabica,0.0
Equatorial Guinea,2021,Robusta,0.0
Equatorial Guinea,2022,Arabica,0.0
Equatorial Guinea,2022,Robusta,0.0
Equatorial Guinea,2023,Arabica,0.0
Equatorial Guinea,2023,Robusta,0.0
Equatorial Guinea,2024,Arabica,0.0
Equatorial Guinea,2024,Robusta,0.0
Equatorial Guinea,2025,Arabica,0.0
Equatorial Guinea,2025,Robusta,0.0
Ethiopia,2015,Arabica,6510.0
Ethiopia,2015,Robusta,0.0
Ethiopia,2016,Arabica,6943.0
Ethiopia,2016,Robusta,0.0
Ethiopia,2017,Arabica,7055.0
Ethiopia,2017,Robusta,0.0
Ethiopia,2018,Arabica,7350.0
Ethiopia,2018,Robusta,0.0
Ethiopia,2019,Arabica,7475.0
Ethiopia,2019,Robusta,0.0
Ethiopia,2020,Arabica,7600.0
Ethiopia,2020,Robusta,0.0
Ethiopia,2021,Arabica,8150.0
Ethiopia,2021,Robusta,0.0
Ethiopia,2022,Arabica,7300.0
Ethiopia,2022,Robusta,0.0
Ethiopia,2023,Arabica,9130.0
Ethiopia,2023,Robusta,0.0
Ethiopia,2024,Arabica,11100.0
Ethiopia,2024,Robusta,0.0
Ethiopia,2025,Arabica,11560.0
Ethiopia,2025,Robusta,0.0
European Union,2015,Arabica,0.0
European Union,2015,Robusta,0.0
European Union,2016,Arabica,0.0
European Union,2016,Robusta,0.0
European Union,2017,Arabica,0.0
European Union,2017,Robusta,0.0
European Union,2018,Arabica,0.0
European Union,2018,Robusta,0.0
European Union,2019,Arabica,0.0
European Union,2019,Robusta,0.0
European Union,2020,Arabica,0.0
European Union,2020,Robusta,0.0
European Union,2021,Arabica,0.0
European Union,2021,Robusta,0.0
European Union,2022,Arabica,0.0
European Union,2022,Robusta,0.0
European Union,2023,Arabica,0.0
European Union,2023,Robusta,0.0
European Union,2024,Arabica,0.0
European Union,2024,Robusta,0.0
European Union,2025,Arabica,0.0
European Union,2025,Robusta,0.0
Gabon,2015,Arabica,0.0
Gabon,2015,Robusta,0.0
Gabon,2016,Arabica,0.0
Gabon,2016,Robusta,0.0
Gabon,2017,Arabica,0.0
Gabon,2017,Robusta,0.0
Gabon,2018,Arabica,0.0
Gabon,2018,Robusta,0.0
Gabon,2019,Arabica,0.0
Gabon,2019,Robusta,0.0
Gabon,2020,Arabica,0.0
Gabon,2020,Robusta,0.0
Gabon,2021,Arabica,0.0
Gabon,2021,Robusta,0.0
Gabon,2022,Arabica,0.0
Gabon,2022,Robusta,0.0
Gabon,2023,Arabica,0.0
Gabon,2023,Robusta,0.0
Gabon,2024,Arabica,0.0
Gabon,2024,Robusta,0.0
Gabon,2025,Arabica,0.0
Gabon,2025,Robusta,0.0
Georgia,2015,Arabica,0.0
Georgia,2015,Robusta,0.0
Georgia,2016,Arabica,0.0
Georgia,2016,Robusta,0.0
Georgia,2017,Arabica,0.0
Georgia,2017,Robusta,0.0
Georgia,2018,Arabica,0.0
Georgia,2018,Robusta,0.0
Georgia,2019,Arabica,0.0
Georgia,2019,Robusta,0.0
Georgia,2020,Arabica,0.0
Georgia,2020,Robusta,0.0
Georgia,2021,Arabica,0.0
Georgia,2021,Robusta,0.0
Georgia,2022,Arabica,0.0
Georgia,2022,Robusta,0.0
Georgia,2023,Arabica,0.0
Georgia,2023,Robusta,0.0
Georgia,2024,Arabica,0.0
Georgia,2024,Robusta,0.0
Georgia,2025,Arabica,0.0
Georgia,2025,Robusta,0.0
Ghana,2015,Arabica,0.0
Ghana,2015,Robusta,1.0
Ghana,2016,Arabica,0.0
Ghana,2016,Robusta,1.0
Ghana,2017,Arabica,0.0
Ghana,2017,Robusta,1.0
Ghana,2018,Arabica,0.0
Ghana,2018,Robusta,0.0
Ghana,2019,Arabica,0.0
Ghana,2019,Robusta,0.0
Ghana,2020,Arabica,0.0
Ghana,2020,Robusta,0.0
Ghana,2021,Arabica,0.0
Ghana,2021,Robusta,0.0
Ghana,2022,Arabica,0.0
Ghana,2022,Robusta,0.0
Ghana,2023,Arabica,0.0
Ghana,2023,Robusta,0.0
Ghana,2024,Arabica,0.0
Ghana,2024,Robusta,0.0
Ghana,2025,Arabica,0.0
Ghana,2025,Robusta,0.0
Guatemala,2015,Arabica,3125.0
Guatemala,2015,Robusta,170.0
Guatemala,2016,Arabica,3400.0
Guatemala,2016,Robusta,170.0
Guatemala,2017,Arabica,3600.0
Guatemala,2017,Robusta,180.0
Guatemala,2018,Arabica,3520.0
Guatemala,2018,Robusta,250.0
Guatemala,2019,Arabica,3515.0
Guatemala,2019,Robusta,130.0
Guatemala,2020,Arabica,3810.0
Guatemala,2020,Robusta,120.0
Guatemala,2021,Arabica,3410.0
Guatemala,2021,Robusta,130.0
Guatemala,2022,Arabica,3150.0
Guatemala,2022,Robusta,120.0
Guatemala,2023,Arabica,3339.0
Guatemala,2023,Robusta,130.0
Guatemala,2024,Arabica,3075.0
Guatemala,2024,Robusta,130.0
Guatemala,2025,Arabica,3410.0
Guatemala,2025,Robusta,130.0
Guinea,2015,Arabica,0.0
Guinea,2015,Robusta,280.0
Guinea,2016,Arabica,0.0
Guinea,2016,Robusta,200.0
Guinea,2017,Arabica,0.0
Guinea,2017,Robusta,190.0
Guinea,2018,Arabica,0.0
Guinea,2018,Robusta,70.0
Guinea,2019,Arabica,0.0
Guinea,2019,Robusta,145.0
Guinea,2020,Arabica,0.0
Guinea,2020,Robusta,70.0
Guinea,2021,Arabica,0.0
Guinea,2021,Robusta,300.0
Guinea,2022,Arabica,0.0
Guinea,2022,Robusta,100.0
Guinea,2023,Arabica,0.0
Guinea,2023,Robusta,190.0
Guinea,2024,Arabica,0.0
Guinea,2024,Robusta,175.0
Guinea,2025,Arabica,0.0
